RR,RF ACC,NB ACC,LR ACC
AuthorUnresponsive,88.19254365266636+-1.6835734385650087,59.3487494100991+-0.8995011899717499,99.09391222274658+-0.1681786661746649
BiasIssuesorLackofBalance,93.46747777257838+-0.34323108696101656,87.60879737950398+-0.6237911252965134,99.86897519887692+-0.0837086748713088
BreachofPolicybyAuthor,67.83452502553627+-1.6637418198642175,59.36670071501532+-0.681966409920347,74.06537282941777+-1.0985935940026814
CitesRetractedWork,92.41509433962264+-1.1556122438955727,68.83018867924528+-0.9760846218618773,99.34905660377359+-0.13089091439162442
CivilProceedings,96.1592505854801+-0.4029192162549238,86.31381733021077+-0.7826360121482078,99.85948477751757+-0.0740580248282974
ComplaintsaboutAuthor,99.91569086651054+-0.06947258535921039,90.47306791569086+-1.562115311419225,99.93442622950819+-0.05340400117560192
ConcernsIssuesAboutAuthorship,84.35399905347846+-1.651876690985326,67.68575485092286+-1.364436316311776,98.56128726928539+-0.14432513660176813
ConcernsIssuesAboutData,66.78714859437751+-0.7716893856933669,57.51004016064257+-0.9233400314075956,77.29919678714859+-1.3354734663045797
ConcernsIssuesAboutImage,78.90699904122722+-1.1902884964463227,62.2914669223394+-0.9716299950265136,93.58581016299136+-0.48817448199811714
ConcernsIssuesaboutReferencingAttributions,84.62416745956233+-1.5361972208116705,69.49571836346337+-0.9415514880621749,96.97431018078021+-0.3323358553106249
ConcernsIssuesAboutResults,79.59008579599619+-2.583439156468488,63.67016205910391+-1.0213990647076312,97.46425166825549+-0.3168878958740633
ConcernsIssuesaboutThirdPartyInvolvement,97.25269573370839+-1.6014277682879503,86.93858415377403+-0.9309418046957368,99.89685888420065+-0.06112707365403098
ConflictofInterest,96.53070792311298+-0.3765208252275877,85.01640881387716+-0.22139182284327963,99.943741209564+-0.06112707365403316
ContaminationofCellLinesTissues,100.0+-0.0,91.64794007490637+-0.6145275963711722,99.9625468164794+-0.051284883661529494
ContaminationofMaterials(General),99.83153954141319+-0.10252177023962435,91.3242863827796+-0.4686471112233689,100.0+-0.0
ContaminationofReagents,100.0+-0.0,99.3080878915381+-0.1529259208396169,99.95324918186068+-0.08097479231271362
CopyrightClaims,87.92434988179669+-0.9129091923326471,72.38770685579196+-1.2224759786144566,99.00709219858156+-0.21923447979895172
CriminalProceedings,93.00140911225928+-0.5733469053890906,75.47205260685769+-1.458883047807639,99.81211836542978+-0.06642618893250689
DateofRetractionOtherUnknown,80.7721639656816+-0.8721420790453909,68.98951382268828+-0.7555979316697894,97.04480457578647+-0.38428301946132304
DoingtheRightThing,96.485473289597+-0.4358265051016489,81.19025304592314+-0.6498232217787769,99.91565135895033+-0.05133294821979258
DuplicatePublicationthroughErrorbyJournalPublisher,83.3903133903134+-1.1815636098762248,70.23741690408357+-1.3164976059699467,97.8727445394112+-0.2359881033198355
DuplicationofArticle,66.72448979591837+-2.507381854663919,56.63265306122449+-1.6890760568619227,73.89795918367348+-0.7546882484530858
DuplicationofData,77.9731027857829+-1.4282988526721738,62.401536983669544+-1.8344347398250567,92.87223823246877+-0.7406707598924605
DuplicationofImage,68.75127942681678+-1.1812927775847275,56.10030706243603+-1.1756254732103382,72.29273285568065+-0.9101752810701412
DuplicationofText,78.53658536585365+-0.8436567028675293,65.75801052128168+-1.1729075531736701,94.06025824964132+-0.5383122645721712
ErrorbyJournalPublisher,79.78805394990366+-1.098223641143669,66.92678227360308+-1.0714884557533177,92.89017341040463+-0.32060811738523126
ErrorbyThirdParty,99.99064983637214+-0.020907601472648026,99.32678821879384+-0.1767898120728267,100.0+-0.0
ErrorinAnalyses,82.0181731229077+-1.284588810957755,63.625059780009565+-0.8585708116694911,93.54375896700144+-0.754650111815376
ErrorinCellLinesTissues,94.83356774496015+-0.7770312303414041,83.98499765588373+-0.727507350821221,99.85935302390999+-0.05741888754765875
ErrorinData,69.40410615923886+-2.506508251538775,55.623435152729094+-1.0607180761090895,77.2959439158738+-0.6592060984983086
ErrorinImage,75.65175097276264+-0.7103498897648672,65.03891050583658+-1.0070560234642687,88.18093385214007+-0.3244568108980135
ErrorinMaterials(General),94.8544600938967+-0.3950363186471866,86.94835680751174+-1.3525690413979272,99.78403755868544+-0.18363950437191123
ErrorinMethods,75.27272727272728+-2.3574974032960125,57.07177033492823+-0.8889740985641041,93.88516746411483+-0.6710515654709281
ErrorinResultsandorConclusions,82.26596255400864+-1.057041493578327,63.437349975996156+-1.7483630312950305,93.61497839654345+-0.30362723573388123
ErrorinText,90.3027436140019+-1.4804619067671565,70.1135288552507+-1.2592913882262453,98.4484389782403+-0.3834225946860826
EthicalViolationsbyAuthor,76.53140096618357+-1.7251179996649757,61.44927536231884+-0.921047148064619,89.85507246376812+-0.467127526710472
EthicalViolationsbyThirdParty,100.0+-0.0,99.62599345488546+-0.0467508181393157,100.0+-0.0
EuphemismsforDuplication,81.96454240536656+-1.1739827688986326,67.3981792045999+-1.0674552770496732,93.68471490177288+-0.38092202998279107
EuphemismsforMisconduct,99.8314606741573+-0.10256976732306872,97.99625468164794+-0.3494027744765012,99.93445692883896+-0.04187393216291503
EuphemismsforPlagiarism,77.09038182696955+-1.7944976525603622,62.41662638956017+-0.9627761893079756,90.11116481391977+-0.4463895558827967
FakePeerReview,93.14232033818695+-0.6457363590825509,69.07468294974166+-1.0347358215940867,99.88727101925787+-0.08532598461524124
