RR,RF ACC,NB ACC,LR ACC
AuthorUnresponsive,93.17602642756017+-1.170610730609306,98.83907503539405+-0.15863837955613086,99.80179329872581+-0.16483482016586398
BiasIssuesorLackofBalance,92.55966307908282+-0.48291454002222955,99.9438465138044+-0.02092716871782541,99.9438465138044+-0.05126088511980634
BreachofPolicybyAuthor,69.31562819203269+-1.4541774275892991,91.34831460674158+-1.0051041381152048,97.06843718079674+-0.1557502623286648
CitesRetractedWork,92.74528301886792+-0.7446259343649454,98.38679245283019+-0.287697182678809,99.91509433962264+-0.039465095591226455
CivilProceedings,94.81030444964871+-2.0007731778858364,99.90632318501171+-0.03311975555908703,99.89695550351288+-0.06106981175833794
ComplaintsaboutAuthor,99.97189695550351+-0.04189354524589616,99.5503512880562+-0.09712618900856082,99.95316159250585+-0.046838407494142587
ConcernsIssuesAboutAuthorship,88.5470894462849+-1.964174724983166,98.25840037860861+-0.2706290289729477,99.77283483199243+-0.10260048929805796
ConcernsIssuesAboutData,69.56827309236948+-2.457122916125932,94.3875502008032+-0.5233900208425043,97.91164658634538+-0.2525055489951675
ConcernsIssuesAboutImage,82.3489932885906+-0.7828836149275336,96.6922339405561+-0.49819294560946203,99.69319271332694+-0.16114799917517725
ConcernsIssuesaboutReferencingAttributions,88.47764034253092+-1.0446742532296573,96.97431018078021+-0.7704889836312374,99.69552806850618+-0.0542424084252641
ConcernsIssuesAboutResults,84.09914204003813+-1.3382593286700473,97.80743565300286+-0.4645755169117695,99.57102001906577+-0.17834401271562994
ConcernsIssuesaboutThirdPartyInvolvement,95.2836380684482+-3.3669866425419643,99.54055321143929+-0.1257984797468263,99.84060009376465+-0.10271402859918558
ConflictofInterest,95.18049695264885+-2.9342493528276523,99.64369432723863+-0.11290759098726302,99.89685888420065+-0.08386565316455008
ContaminationofCellLinesTissues,90.72097378277154+-3.181523387615257,99.7752808988764+-0.08374786432583999,99.9625468164794+-0.03916947689766048
ContaminationofMaterials(General),98.31539541413196+-3.766890369208815,99.6911558259242+-0.19742651483134593,100.0+-0.0
ContaminationofReagents,99.91584852734923+-0.11640859839166988,99.75689574567555+-0.12544560883589373,100.0+-0.0
CopyrightClaims,90.69503546099291+-1.952724400245767,99.61229314420804+-0.07012953652099897,99.75413711583924+-0.09094744237196971
CriminalProceedings,91.81775481446688+-1.0656176929643315,99.6618130577736+-0.121579888262514,99.95302959135745+-0.057526767092137145
DateofRetractionOtherUnknown,85.56720686367969+-0.8333783914465953,97.55004766444232+-0.20939830921343,99.65681601525262+-0.1827482317700754
DoingtheRightThing,95.06091846298033+-1.5962125866347165,99.49390815370197+-0.06109842928962414,99.95313964386129+-0.06627055118899478
DuplicatePublicationthroughErrorbyJournalPublisher,89.10731244064577+-1.401604522567959,98.57549857549857+-0.4946027221272446,99.75308641975309+-0.18512429904670474
DuplicationofArticle,69.93877551020408+-1.7891366621460398,91.39795918367346+-0.5823929867398361,97.14285714285714+-0.5152808642021507
DuplicationofData,82.65129682997117+-2.0116796755343143,97.87704130643611+-0.270426287420926,99.42363112391932+-0.08319168143942547
DuplicationofImage,71.54554759467759+-1.9903210319989828,93.67451381780963+-0.175799017782165,96.88843398157626+-0.5148321940617921
DuplicationofText,83.78766140602582+-1.4580441147227277,95.74366331898614+-0.5015824238020768,99.56001912960306+-0.21226533736176437
ErrorbyJournalPublisher,84.73988439306359+-1.1007560587440262,97.41811175337186+-0.348356160534959,99.33526011560694+-0.10442911073544509
ErrorbyThirdParty,99.99064983637214+-0.020907601472648026,99.88779803646564+-0.05330413394573362,99.99064983637214+-0.020907601472648026
ErrorinAnalyses,83.38593974175036+-1.4413207011177154,96.88187470109995+-0.44658508005466396,99.65566714490674+-0.13694711681756386
ErrorinCellLinesTissues,96.74636661978434+-1.575832052307351,99.61556493202063+-0.09608017595836046,99.82184716361931+-0.19443451808089562
ErrorinData,68.6730095142714+-1.687984438164242,94.3014521782674+-0.6637550157087452,98.11717576364546+-0.32180809239979125
ErrorinImage,79.87354085603113+-2.333718207026236,97.1887159533074+-0.13496533974232938,99.43579766536965+-0.14428401725866902
ErrorinMaterials(General),94.72300469483568+-2.779406166006014,99.43661971830986+-0.11499951844052392,99.93427230046949+-0.04199188690140471
ErrorinMethods,78.16267942583731+-2.590722423879948,97.2153110047847+-0.5364402456717314,99.67464114832536+-0.14901829188897514
ErrorinResultsandorConclusions,85.11761881901104+-1.0363434059012464,97.41718674987999+-0.42044424475873254,99.54872779644744+-0.080332215701781
ErrorinText,93.34910122989594+-1.8858101057649972,98.61873226111638+-0.17186283940004937,99.73509933774834+-0.15181463137068507
EthicalViolationsbyAuthor,83.256038647343+-1.0177082696217654,96.94685990338165+-0.6095385621483063,99.46859903381642+-0.2077856344696298
EthicalViolationsbyThirdParty,100.0+-0.0,99.98129967274427+-0.025606477676724904,99.98129967274427+-0.025606477676724904
EuphemismsforDuplication,85.45280306660278+-1.4689102836433445,97.613799712506+-0.19581041439102514,99.61667465261141+-0.13552597626957866
EuphemismsforMisconduct,99.97191011235955+-0.04187393216291503,99.9438202247191+-0.020936966081457516,99.99063670411985+-0.020936966081457516
EuphemismsforPlagiarism,74.87675205413244+-2.6640826184510544,96.62638956017399+-0.7285236802867768,99.30401159980667+-0.2282400957586774
FakePeerReview,93.7905119774542+-1.1616989018241082,97.73602630342884+-0.3689494952870923,99.97181775481447+-0.025726752348760717
FalseForgedAuthorship,88.05913209346686+-1.5641101687284011,98.9031950405341+-0.3800042310564919,99.47544110634239+-0.3438770887423904
FalsificationFabricationofData,68.18228896944588+-1.4732365891760775,91.49663386846194+-0.8551854341495337,96.29207664422579+-0.47688718521890366
FalsificationFabricationofImage,82.40963855421687+-1.8376555146927827,96.07710843373495+-0.37267691429747124,99.45060240963855+-0.2117193507131457
FalsificationFabricationofResults,91.95488721804512+-1.5177916720440894,98.39285714285714+-0.3894993568628197,99.90601503759399+-0.07430163675207613
InformedPatientConsent-NoneWithdrawn,92.74776890558948+-0.5834549135502292,99.26726162517613+-0.15789324860472045,99.90605918271488+-0.07426673696966593
InvestigationbyCompanyInstitution,62.62921348314607+-1.5656931455047578,85.98876404494382+-0.858098943151574,91.80898876404494+-0.4968020442569528
InvestigationbyJournalPublisher,60.33457249070632+-1.6105470959734427,79.3184634448575+-0.8567229748423085,85.43990086741016+-0.9648334264186763
InvestigationbyORI,84.60513796384396+-2.562498426067327,98.46812559467175+-0.26143923242691347,99.70504281636536+-0.13201176903436346
InvestigationbyThirdParty,76.94037145650049+-1.273307494327314,95.3958944281525+-0.6367006478780843,99.21798631476051+-0.22662801797398852
LackofApprovalfromAuthor,89.81060606060606+-1.6019609580984842,96.70454545454545+-0.46944297567975013,99.74431818181819+-0.17904990910216728
LackofApprovalfromCompanyInstitution,96.92018779342723+-1.6736282566211773,99.13615023474179+-0.12684747498691262,99.93427230046949+-0.07855962690460884
LackofApprovalfromThirdParty,93.51782363977486+-1.2517390020429826,99.84990619136961+-0.06957034228044738,99.88742964352721+-0.07113391598547252
LackofIRBIACUCApproval,83.72137404580153+-2.056347522465684,97.68129770992367+-0.6280699325864106,99.74236641221374+-0.07235568171804424
LegalReasonsLegalThreats,95.64932020628224+-2.540831730305079,96.69010782934834+-0.42917177651554944,99.92498827941866+-0.11767370274740542
ManipulationofImages,77.5913129318855+-2.383808616198073,95.41954590325766+-0.6391857588619841,98.19348469891412+-0.3322076736518081
ManipulationofResults,99.93445692883896+-0.06281089824437679,99.93445692883896+-0.025642441830764747,99.93445692883896+-0.05337899930239605
MiscommunicationbyAuthor,91.22477709995307+-2.387023691855442,99.88737681839513+-0.1177841426373657,99.84983575786016+-0.06960298908583526
MiscommunicationbyCompanyInstitution,100.0+-0.0,99.94389901823283+-0.039114540744929614,99.98129967274427+-0.025606477676724904
MiscommunicationbyJournalPublisher,100.0+-0.0,100.0+-0.0,99.98129092609916+-0.025618454513802704
MiscommunicationbyThirdParty,100.0+-0.0,99.97194950911641+-0.025606477676724904,99.96259934548854+-0.020907601472648026
Misconduct-OfficialInvestigationFinding,70.86242299794661+-1.2764701715668663,92.74127310061601+-0.4019215427323065,96.26283367556468+-0.5164179195055171
MisconductbyAuthor,65.86007364544976+-2.0397155150280155,88.98474487112047+-1.0867511001465955,95.83377169910574+-0.6912960126669974
MisconductbyCompanyInstitution,100.0+-0.0,100.0+-0.0,99.99065420560747+-0.02089783156542103
MisconductbyThirdParty,93.06504445484325+-0.6662271885901507,99.92512868507254+-0.05335402082822013,99.93448759943847+-0.06278150615347623
NoFurtherAction,99.99064108563407+-0.02092716871782541,99.82218062704726+-0.05126088511981217,99.9438465138044+-0.039151147708658
Notice-Lackof,88.18481848184818+-2.2193439339643053,98.40641206977841+-0.7098802466804471,99.9057048561999+-0.033338367807004284
Notice-LimitedorNoInformation,62.32501521606817+-1.252532904884763,79.03834449178332+-0.48424404822680434,87.03590992087645+-0.9099157874452897
